"PD_ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","SNIA Online Taxonomy Category","Storage Controller Implementation","Storage Controller Manufacturer Name","Storage Controller Model Name","Storage Controller Model Number","Storage Controller Advanced Data Recovery Type","Capacity Optimizing Methods (COMs)","Workload Optimization Type","Automated Storage Tiering Capable","Automated Storage Tiering Enabled in Hardware on Shipment","Software Operating Environment Name","Software Operating Environment Version","Active or Passive Cooling Enabled in Hardware on Shipment","Length of Rolling Average for Input Power (s)","Length of Rolling Average for Inlet Air Temperature (s)","Power and Temperature Reporting Additional Information","Trans Model Number or Config ID","Trans Power Supply Unit (PSU) Type","Trans PSU Manufacturer Name","Trans PSU Model Name","Trans PSU Model Number","Trans PSU Rated Output (W)","Trans PSUs 80PLUS Certification","Trans Total Amount of Cache (GB)","Trans Devices Used for Cache","Trans Other Devices Used for Cache","Trans Total Num Installed Storage Devices Optimal Point","Trans Ratio Devices Mixed Optimal Point","Trans Installed Solid State Devices in Optimal Point","Trans Installed Rotational Devices in Optimal Point","Trans Num of Controllers in Optimal Point","Trans Num Redundant Controllers Optimal Point","Trans Number of PSUs Optimal Point","Trans Number of Redundant PSUs Optimal Point","Trans Auto Tiering Enabled Optimal Point","Trans Optimal Point DATABASE Workload Test","Trans Optimal Point VDI Workload Test","Trans Optimal Point Ready Idle Workload Test (GB/W)","Trans Storage Device 1 Type","Trans Storage Device 1 Form Factor","Trans Storage Device 1 Rated Speed (RPM)","Trans Storage Device 1 Raw Capacity (GB)","Trans Num Devices Storage Device 1 Optimal Point","Trans Physical or Modeled Data Device 1 Optimal Point","Trans Automated Tiering Enabled During Testing Device 1","Trans Device 1 Optimal Point DATABASE Workload Test","Trans Device 1 Optimal Point VDI Workload Test","Trans Device 1 Optimal Point Ready Idle Wrkld Test (GB/W)","Trans Storage Device 2 Type","Trans Storage Device 2 Form Factor","Trans Storage Device 2 Rated Speed (RPM)","Trans Storage Device 2 Raw Capacity (GB)","Trans Num Devices Storage Device 2 Optimal Point","Trans Physical or Modeled Data Device 2 Optimal Point","Trans Automated Tiering Enabled During Testing Device 2","Trans Device 2 Optimal Point DATABASE Workload Test","Trans Device 2 Optimal Point VDI Workload Test","Trans Device 2 Optimal Point Ready Idle Wrkld Test (GB/W)","Stream Model Number or Config ID","Stream Power Supply Unit (PSU) Type","Stream PSU Manufacturer Name","Stream PSU Model Name","Stream PSU Model Number","Stream PSU Rated Output (W)","Stream PSUs 80PLUS Certification","Stream Total Amount of Cache (GB)","Stream Devices Used for Cache","Stream Other Devices Used for Cache","Stream Total Num Installed Storage Devices Optimal Point","Stream Ratio Devices Mixed Optimal Point","Stream Installed Solid State Devices in Optimal Point","Stream Installed Rotational Devices in Optimal Point","Stream Num of Controllers in Optimal Point","Stream Num Redundant Controllers Optimal Point","Stream Number of PSUs Optimal Point","Stream Number of Redundant PSUs Optimal Point","Stream Auto Tiering Enabled Optimal Point","Stream Optimal Point VDA Workload Test","Stream Optimal Point Ready Idle Workload Test (GB/W)","Stream Storage Device 1 Type","Stream Storage Device 1 Form Factor","Stream Storage Device 1 Rated Speed (RPM)","Stream Storage Device 1 Raw Capacity (GB)","Stream Num Devices Storage Device 1 Optimal Point","Stream Physical or Modeled Data Device 1 Optimal Point","Stream Automated Tiering Enabled During Testing Device 1","Stream Device 1 Optimal Point VDA Workload Test","Stream Device 1 Optimal Point Ready Idle Wrkld Test (GB/W)","Stream Storage Device 2 Type","Stream Storage Device 2 Form Factor","Stream Storage Device 2 Rated Speed (RPM)","Stream Storage Device 2 Raw Capacity (GB)","Stream Num Devices Storage Device 2 Optimal Point","Stream Physical or Modeled Data Device 2 Optimal Point","Stream Automated Tiering Enabled During Testing Device 2","Stream Device 2 Optimal Point VDA Workload Test","Stream Device 2 Optimal Point Ready Idle Wrkld Test (GB/W)","Comp Model Number or Config ID","Comp Power Supply Unit (PSU) Type","Comp PSU Manufacturer Name","Comp PSU Model Name","Comp PSU Model Number","Comp PSU Rated Output (W)","Comp PSUs 80PLUS Certification","Comp Total Amount of Cache (GiB)","Comp Devices Used for Cache","Comp Other Devices Used for Cache","Comp Installed Rotational Devices in Optimal Point","Comp Num of Controllers in Optimal Point","Comp Num Redundant Controllers Optimal Point","Comp Number of PSUs Optimal Point","Comp Number of Redundant PSUs Optimal Point","Comp Auto Tiering Enabled Optimal Point","Comp Optimal Point SW Build  Workload Test","Comp Optimal Point Ready Idle Workload Test (GB/W)","Comp Storage Device 1 Type","Comp Storage Device 1 Form Factor","Comp Storage Device 1 Rated Speed (RPM)","Comp Storage Device 1 Raw Capacity (GiB)","Comp Num Devices Storage Device 1 Optimal Point","Comp Physical or Modeled Data Device 1 Optimal Point","Comp Automated Tiering Enabled During Testing Device 1","Comp Device 1 Optimal Point SW Build Workload Test","Comp Device 1 Optimal Point Ready Idle Workload Test (GB/W)","Comp Storage Device 2 Type","Comp Storage Device 2 Form Factor","Comp Storage Device 2 Rated Speed (RPM)","Cap Storage Device 2 Raw Capacity (GB)","Comp Num Devices Storage Device 2 Optimal Point","Comp Physical or Modeled Data Device 2 Optimal Point","Comp Automated Tiering Enabled During Testing Device 2","Comp Device 2 Optimal Point SW Build  Workload Test","Comp Device 2 Optimal Point Ready Idle Workload Test (GB/W)","Date Available On Market","Date Qualified","Markets","ENERGY STAR Model Identifier"
"2,382,932","Dell Inc.","DELL","Powerscale F200","Powerscale F200",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","Powerscale F200","Powerscale F200","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.2.0.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Powerscale F200","Multi Output","Lite-On Power Technology","L750E-S0","PS-2751-13D1","750W","Platinum","288.00","DRAM",,"4","1","0","2","2","No","0.27","38.50",,,,,,,,,,,,,,,,,,,"2020 Jun 16 12:00:00 AM","2021 Aug 06 12:00:00 AM","United States, Canada","ES_29573_Powerscale F200_08062021151110_1740944"
"2,384,460","Dell Inc.","DELL","PowerScale H700","PowerScale H700",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","PowerScale H700","PowerScale H700","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.2.1.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerScale H700","Multi Output","Artesyn Embedded Technolgies","700-013850--0100","700-013850--0100","1100","Platinum","1536.00","DRAM",,"60","4","0","4","4","No","0.05","173.08",,,,,,,,,,,,,,,,,,,"2021 Sep 07 12:00:00 AM","2021 Sep 21 12:00:00 AM","United States, Canada","ES_29573_Powerscale H700_09212021152600_6968701"
"2,384,461","Dell Inc.","DELL","Powerscale F900","Powerscale F900",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","Powerscale F900","Powerscale F900","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.2.0.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Powerscale F900","Multi Output","Lite-On Power Technology","L1100E-S1","PS-2112-13D-LF","1100","Platinum","2160.00","DRAM",,"0","1","0","2","2","No","0.11","86.14",,,,,,,,,,,,,,,,,,,"2021 May 11 12:00:00 AM","2021 Sep 21 12:00:00 AM","United States, Canada","ES_29573_Powerscale F900_09212021151924_3594628"
"2,384,462","Dell Inc.","DELL","Powerscale F600","Powerscale F600",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","Powerscale F600","Powerscale F600","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.2.0.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Powerscale F600","Multi Output","Lite-On Power Technology","E750E-S1","700-013536-0500","750","Platinum","384.00","DRAM",,"0","1","0","2","2","No","0.15","66.38",,,,,,,,,,,,,,,,,,,"2020 Jun 16 12:00:00 AM","2021 Sep 21 12:00:00 AM","United States, Canada","ES_29573_Powerscale F600_09212021150440_9310369"
"2,385,113","Dell Inc.","DELL","PowerScale A3000","PowerScale  A3000",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","PowerScale  A3000","PowerScale  A3000","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.2.1.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerScale  A3000","Multi Output","Artesyn Embedded Technolgies","071-000-712-01","071-000-712-01","1100","Platinum","384.00","DRAM",,"80","4","0","4","4","No","0.05","974.62",,,,,,,,,,,,,,,,,,,"2021 Sep 07 12:00:00 AM","2021 Oct 07 12:00:00 AM","United States, Canada","ES_29573_Isilon A3000_10072021155101_3933545"
"2,385,114","Dell Inc.","DELL","PowerScale H7000","PowerScale H7000",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","PowerScale H7000","PowerScale H7000","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.2.1.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerScale H7000","Multi Output","Artesyn Embedded Technolgies","071-000-722","071-000-722","1450","Platinum","1536.00","DRAM",,"80","4","0","4","4","No","0.06","786.90",,,,,,,,,,,,,,,,,,,"2021 Sep 07 12:00:00 AM","2021 Oct 07 12:00:00 AM","United States, Canada","ES_29573_Isilon H7000_10072021155849_4891109"
"2,393,446","Dell Inc.","DELL","Powerscale P100 Accelerator and Powerscale F900","Powerscale P100 Accelerator and Powerscale F900",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","Powerscale F900 with P100 Accelerator","Powerscale F900 with P100 Accelerator","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.3.0.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P100 Accelerator and Powerscale F900","Multi Output","Lite-On Power Technology","L1100E-S1","PS-2112-13D-LF","1100","Platinum","2160.00","DRAM",,"0","1","0","2","2","No","0.04","71.65",,,,,,,,,,,,,,,,,,,"2021 Dec 01 12:00:00 AM","2022 Mar 01 12:00:00 AM","United States, Canada","ES_29573_Powerscale P100 Accelerator and Powerscale F900_03012022165111_8131564"
"2,407,480","Dell Inc.","DELL","PowerScale A300","PowerScale A300",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","PowerScale A300","PowerScale A300","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.3.0.1","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerScale A300","Multi Output","Artesyn","1100W PSU","700-013850-0100","1100","Platinum","384.00","DRAM",,"60","4","0","2","2","No","0.01","258.62",,,,,,,,,,,,,,,,,,,"2023 Jan 30 12:00:00 AM","2023 Jan 30 12:00:00 AM","United States, Canada","ES_29573_PowerScale A300_01302023114842_3607973"
"3,629,242","Dell Inc.","DELL","Powerscale F710","Powerscale F710",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","Powerscale F710","Powerscale F710","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.8.0.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Powerscale F710","Multi Output","Delta","DPS-1400AB-7 A","DPS-1400AB-7 A","1400","Platinum","1536.00","DRAM",,"0","6","0","2","2","No","0.08","696.89",,,,,,,,,,,,,,,,,,,"2023 Sep 01 12:00:00 AM","2024 Sep 12 12:00:00 AM","United States, Canada","ES_29573_Powerscale F710_09122024143117_5523993"
"3,629,403","Dell Inc.","DELL","Powerscale F910","Powerscale F910",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","Powerscale F910","Powerscale F910","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.8.0.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Powerscale F910","Multi Output","Delta","DPS-1400AB-7 A","DPS-1400AB-7 A","1400","Platinum","1536.00","DRAM",,"0","6","0","2","2","No","0.07","157.81",,,,,,,,,,,,,,,,,,,"2023 Sep 01 12:00:00 AM","2024 Sep 18 12:00:00 AM","United States, Canada","ES_29573_Powerscale F910_09182024104259_7096259"
"3,629,404","Dell Inc.","DELL","Powerscale F210","Powerscale F210",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","Powerscale F210","Powerscale F210","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.8.0.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Powerscale F210","Multi Output","Delta","DPS-800AB-46 A","DPS-800AB-46 A","800","Platinum","384.00","DRAM",,"0","3","0","2","2","No","0.13","322.80",,,,,,,,,,,,,,,,,,,"2023 Sep 01 12:00:00 AM","2024 Sep 18 12:00:00 AM","United States, Canada","ES_29573_Powerscale F210_09182024105138_9516432"
"4,437,394","Dell Inc.","DELL","Powerscale PA110 Accelerator with PowerScale F210","Powerscale PA110 Accelerator with PowerScale F210",,,"NVSS Disk Set Online 4","Scale-Out Storage","Dell EMC Corporation","Powerscale PA110 Accelerator with PowerScale F210","Powerscale PA110 Accelerator with PowerScale F210","OneFS Data Protection","Delta Snapshots,Thin Provisioning,Compression,Data Deduplication","Composite","Yes","Yes","OneFS","9.8.0.0","Active Cooling","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Powerscale PA110 Accelerator with PowerScale F210","Multi Output","Delta","DPS-800AB-46 A","DPS-800AB-46 A","800","Platinum","384.00","DRAM",,"0","3","0","2","2","No","0.12","164.13",,,,,,,,,,,,,,,,,,,"2025 May 28 12:00:00 AM","2025 Jun 11 12:00:00 AM","United States, Canada","ES_29573_Powerscale PA110 Accelerator with PowerScale F210_06112025150458_3639479"
